"sku;""manufacturer"";""description"";""date_modified"";""quantity"";""price"";""alt_sku"";""picture"""
"04570101;""MITCO"";""20x8x16"";""0000-00-00 00:00:00"";""2"";""0"";;"
"06060001;""MITCO"";""9x5x5"";""0000-00-00 00:00:00"";""1"";""0"";;"
"06130001;""MITCO"";""10x5x6.5"";""0000-00-00 00:00:00"";""7"";""0"";;"
"06175001;""MITCO"";""10.5x5x6.5"";""0000-00-00 00:00:00"";""1"";""0"";;"
"06270001;""MITCO"";""13.5x5.5x8"";""0000-00-00 00:00:00"";""1"";""0"";;"
"06285001;""MITCO"";""14x4.5x8"";""0000-00-00 00:00:00"";""8"";""0"";;"
"06320001;""MITCO"";""15x5x11.25"";""0000-00-00 00:00:00"";""4"";""0"";;"
"06395001;""MITCO"";""16x5x10.5"";""0000-00-00 00:00:00"";""13"";""0"";;"
"06415001;""MITCO"";""16.25x5x11.25"";""0000-00-00 00:00:00"";""4"";""0"";;"
"06420001;""MITCO"";""16.25x6x11.25"";""0000-00-00 00:00:00"";""2"";""0"";;"
"06445001;""MITCO"";""17x5x12.125"";""0000-00-00 00:00:00"";""2"";""0"";;"
"06480001;""MITCO"";""18x5x12.125"";""0000-00-00 00:00:00"";""1"";""0"";;"
"06485101;""MITCO"";""18x6x12.125"";""0000-00-00 00:00:00"";""2"";""0"";;"
"06490001;""MITCO"";""18x7x12.125"";""0000-00-00 00:00:00"";""2"";""0"";;"
"06490101;""MITCO"";""18x7x12.125"";""0000-00-00 00:00:00"";""4"";""0"";;"
"06570001;""MITCO"";""20x8x16"";""0000-00-00 00:00:00"";""2"";""0"";;"
"06605001;""MITCO"";""21x7x15"";""0000-00-00 00:00:00"";""2"";""0"";;"
"07000-32065;""PRIME MOVER"";;""2010-11-10 08:41:04"";""1"";""0"";;"
"100969;;;""0000-00-00 00:00:00"";""1"";""0"";;"
"1011700;;""KNOB"";""0000-00-00 00:00:00"";""1"";""15"";;"
"1118A;;;""0000-00-00 00:00:00"";""2"";""0"";;"
"114-4124;;;""0000-00-00 00:00:00"";""1"";""0"";;"
"115221;""LINDE"";;""0000-00-00 00:00:00"";""1"";""0"";;"
"118654;;""GASKET"";""0000-00-00 00:00:00"";""1"";""1"";;"
"1312668;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY1312668"";"
"132346;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY132346"";"
"13312;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY13312"";"
"1354900;""HYSTER"";;""0000-00-00 00:00:00"";""2"";""0"";""HY1354900"";"
"135717;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY135717"";"
"135793;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY135793"";"
"141082;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY141082"";"
"14273;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY014273"";"
"14358;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY014358"";"
"1442;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY1442"";"
"144610;;;""0000-00-00 00:00:00"";""3"";""0"";;"
"1453060-HD;""DENSO"";;""0000-00-00 00:00:00"";""1"";""0"";;"
"153518;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY0153518"";"
"153758;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY0153758"";"
"15601-33021;;""FILTER - OIL"";""0000-00-00 00:00:00"";""2"";""3"";;"
"15884;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY015884"";"
"159910;;""SEALED BEAM – 12V"";""0000-00-00 00:00:00"";""1"";""4"";;"
"16016;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY016016"";"
"161277;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY161277"";"
"16387;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY0016387"";"
"1830360;;""SEAL KIT - LIFT CYLINDER"";""0000-00-00 00:00:00"";""1"";""13"";;"
"191394;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY191394"";"
"191537;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY0191537"";"
"197232;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY197232"";"
"1975261;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY1975261"";"
"20301;;;""0000-00-00 00:00:00"";""1"";""0"";;"
"20330;;""O-RING"";""0000-00-00 00:00:00"";""1"";""2"";;"
"206788;""HYSTER"";;""0000-00-00 00:00:00"";""2"";""0"";""HY206788"";"
"2121803;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY2121803"";"
"212904;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY212904"";"
"22-20595;;;""0000-00-00 00:00:00"";""1"";""0"";;"
"2356175;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY2356175"";"
"2396839805;;;""0000-00-00 00:00:00"";""12"";""0"";;"
"2396883723;;""5W-30 Oil"";""2011-01-05 08:22:03"";""48"";""0"";;"
"244941;""HYSTER"";;""0000-00-00 00:00:00"";""1"";""0"";""HY244941"";"
"250933;;""SEAL KIT - LIFT CYLINDER"";""0000-00-00 00:00:00"";""1"";""118"";;"
"26300101;""MITCO"";""600x9"";""0000-00-00 00:00:00"";""5"";""0"";;"
